기기 이름:,,TCTempX4,TCTempX4,TCTempX4,TCTempX4,,,,
기기 설명,,4 채널 열전지 온도 데이터 로거,4 채널 열전지 온도 데이터 로거,4 채널 열전지 온도 데이터 로거,4 채널 열전지 온도 데이터 로거,,,,
일련 번호:,,T15168,T15168,T15168,T15168,,,,
기기 ID:,,MultiChannel,MultiChannel,MultiChannel,MultiChannel,,,,
,,,,,,,,,
,,채널 2,채널 4,채널 6,채널 8,,,,
날짜,시간,열전지 1 (°C),열전지 2 (°C),열전지 3 (°C),열전지 4 (°C),,,,
2025-04-26,PM 8:14:48,-270,23.9,-270,-270,,,,
2025-04-26,PM 8:14:49,-270,23.9,-270,-270,,,,
2025-04-26,PM 8:14:50,-270,24,-270,-270,,,,
2025-04-26,PM 8:14:51,-270,23.9,-270,-270,,,,
2025-04-26,PM 8:14:52,-270,23.8,-270,-270,,,,
2025-04-26,PM 8:14:53,-270,23.8,-270,-270,,,,
2025-04-26,PM 8:14:54,-270,23.8,-270,-270,,,,
2025-04-26,PM 8:14:55,-270,23.8,-270,-270,,,,
2025-04-26,PM 8:14:56,-270,23.8,-270,-270,,,,
2025-04-26,PM 8:14:57,-270,23.9,-270,-270,,,,
2025-04-26,PM 8:14:58,-270,23.9,-270,-270,,,,
2025-04-26,PM 8:14:59,-270,24,-270,-270,,,,
2025-04-26,PM 8:15:00,-270,23.9,-270,-270,,,,
2025-04-26,PM 8:15:01,-270,23.9,-270,-270,,,,
